	SRR1568666	SRR1568530	SRR1568603	SRR1568721	SRR1568671	SRR1568676	SRR1568385	SRR1568580	SRR1568678	SRR1568646	SRR1568699	SRR1568433	SRR1568636	SRR1568598	SRR1568557	SRR1568543	SRR1568492	SRR1568592	SRR1568534	SRR1568464	SRR1568475	SRR1568650	SRR1568713	SRR1568460	SRR1568707	SRR1568723	SRR1568742	SRR1568538	SRR1568709	SRR1568615	SRR1568545	SRR1568686	SRR1568483	SRR1568748	SRR1568732	SRR1568416	SRR1568600	SRR1568448	SRR1568643	SRR1568498	SRR1568371	SRR1568470	SRR1568481	SRR1568688	SRR1568407	SRR1568394	SRR1568515	SRR1568381	SRR1568611	SRR1568455	SRR1568656	SRR1568525	SRR1568409	SRR1568584	SRR1568485	SRR1568728	SRR1568562	SRR1568652	SRR1568507	SRR1568634	SRR1568462	SRR1568414	SRR1568551	SRR1568648	SRR1568756	SRR1568449	SRR1568633	SRR1568547	SRR1568387	SRR1568705	SRR1568369	SRR1568506	SRR1568734	SRR1568528	SRR1568468	SRR1568590	SRR1568553	SRR1568570	SRR1568594	SRR1568541	SRR1568674	SRR1568500	SRR1568660	SRR1568698	SRR1568682	SRR1568744	SRR1568560	SRR1568490	SRR1568750	SRR1568623	SRR1568627	SRR1568579	SRR1568437	SRR1568669	SRR1568613	SRR1568654	SRR1568523
NM_4	672.5461728557959	24.9011609428727	48.9825866048179	359.741667808962	246.03556109612202	468.784515246172	118.858970698104	30.677458864102306	50.528667264497614	617.655589424404	597.1851366534929	0.0	740.7491019064122	355.888371791074	218.546659037958	344.9224301226239	301.229881079819	150.21112445864296	681.059488111562	744.870778814806	0.668317569321616	559.586219571402	373.64939564128196	356.973593666169	239.670716221553	68.2083734752848	99.84887294309412	134.044255619864	108.379627706932	220.101537073889	378.27912417472	261.694400529875	737.619415714974	45.94235870872729	137.765417922829	517.519836133104	386.25483771667297	346.852827905456	138.676928651228	478.429849089778	399.938352889244	423.335085998555	645.970200173187	99.46900525251681	891.9539007802921	404.084175331097	13.1112902306816	376.32529741794997	859.4194976878032	161.2964752268	403.779360197457	266.51684919674096	570.621333832962	493.616158867989	178.42888439536998	110.195603312253	929.22734129875	530.35348882444	249.47638631034096	452.35462822189004	268.780263052589	275.439086385012	454.65646266642	196.70434107188998	374.782193519203	171.701114337382	568.881293499348	525.568578790402	606.7898849072	1139.70085435262	716.289796332519	466.270450416344	360.577539584858	752.878266752092	292.254962634057	310.2873124864101	162.01512301478598	2.93802828931064	1111.37002780051	385.146216190541	476.389452576071	636.550448897393	530.575842250579	209.037399508349	1130.17909390765	495.62486900051596	334.24161455394	757.412253296572	280.696219728445	338.664480930794	137.232009895911	376.82046486075103	649.2440316381401	629.448574861148	535.734766765511	553.855105451803	295.68844710689
NM_8	751.7751731386742	382.054955037789	1004.14302539877	252.979624459205	430.758745944649	574.525383346812	35.439601354939214	604.158118446096	158.582278799346	87.2170922165398	589.437870015826	692.036183937494	164.77585232787902	172.621069223448	578.2663152184481	667.013115461717	294.445424298742	41.5584111002246	30.0364697320997	96.6899568653835	211.18835190563095	157.447523411685	919.680682039763	451.982069499801	476.212571918021	967.4220971244561	371.487421695114	554.894914029977	80.55242599839521	428.481690516625	41.469101848030796	406.0775180635991	699.236504942475	402.622125411029	76.5363432904606	572.7774076145951	135.461203649932	318.903943012247	337.568839479963	202.17519429277698	427.89103346752404	408.543011446193	547.3037335671	293.593999374364	92.026989763046	42.4088342426695	206.034560767854	554.200393904741	332.678515233988	40.3241188066999	630.905250308527	422.598539886546	109.50089561826599	90.20763137207399	590.782251088607	335.558040161371	1061.51317808086	464.05930272138494	100.04708551263	177.898844734094	633.228077361185	586.883282101398	126.460737960196	207.28932803540002	532.839509018093	842.1939658248599	523.954258012732	344.852569048592	1035.17317117502	128.915111653499	70.4960080749052	504.3333443278829	148.473104534941	31.0465264640038	55.1972593444044	375.866627062794	669.4721823254171	975.425392051134	34.8709219249147	197.873285382296	614.975475143656	323.546024344025	355.077679044618	561.068498390526	866.381367012147	493.096170689289	448.48586156083	435.371784117141	99.4592904549609	147.381764849512	501.606656860917	284.693402679722	171.790435069925	98.406749027588	50.5245796299181	48.5128559519827	20.2592410742078
NM_18	239.487659945973	686.56058028206	425.876377980778	591.833066395389	633.561221225159	496.277140952338	440.541506073706	28.7992470969124	132.151898999455	334.59648104890704	322.802776569456	383.270557356687	329.55170465575804	425.849333767097	461.5271060428929	342.47617175296	476.947311709713	89.125267178795	505.7303275823289	183.53186256855201	374.257838820105	280.815496301361	542.304110382109	389.25802720186897	37.5463263010266	31.830574288466202	415.5201544836831	518.0629338821769	577.048288061231	647.932039611005	309.501101597498	266.206372952804	193.583376069993	56.801461676244706	694.56731536093	91.50178503386681	464.0498261582	521.712518006553	235.38583942116298	174.395396603693	425.740827269195	595.9092891094471	517.788123898612	453.22570941671	968.407092275745	4.80100010294372	246.61712576758305	63.7164524728804	252.149192101951	256.226171584239	480.585216756756	294.49375601849897	333.36939332672	332.685744500209	571.8154011725641	729.1137662765581	947.510749634489	687.625866494453	443.157282623253	190.187909666383	707.028759758676	202.52873998898	579.310618655756	736.538676210889	385.1352927876889	90.14308502712572	553.711125672698	225.480525916387	35.2664206612732	764.3639363526062	1029.7452608084402	438.9920431130751	270.433154688643	575.13690274567	76.69513929959349	550.137583390778	3.56861504437855	96.9549335472513	1049.50226309501	166.77891196507798	36.5713115108903	364.901531215066	6.802254387827929	334.459839213359	202.200288128028	410.91347557440804	736.412240841707	557.679836871698	299.851342334586	486.568876152113	350.769749432221	517.435454505479	88.2167099007723	146.28030260857702	495.6635484383351	675.137245331759	9.64725765438467
NM_25	19.8072500707196	199.920749284206	970.1273402565332	564.755736560306	180.00684821409595	521.654949296492	221.36120230931198	505.238965374093	320.27401404573897	681.879084602038	545.53669240238	497.893527781116	537.377103988218	123.19212869691002	519.896710630671	556.931488826837	245.597335474987	184.759683084131	185.10847625596298	255.154052839206	505.248082407142	655.008961033029	722.1403531720531	673.36104231603	33.7916936709239	808.2692256821249	441.567686555795	400.32135799986395	541.165843752855	72.9330537049574	478.411833515087	792.302357466311	367.140885649987	590.568138310368	793.1078573473981	543.0690358503521	11.9684597602349	161.243566691586	645.0301878711721	289.372892594624	554.036463769508	83.1173712942254	773.308973314377	652.965889318941	212.36997637625998	310.464673323694	24.349538999837304	422.78521067942495	352.48080780743993	157.936131992908	102.04206657163999	629.480403489541	64.4838607529786	288.664420390637	364.58500394172097	774.6833766688429	677.561603030338	158.682892267951	127.624166775727	74.9047767301447	256.024589551788	220.53129465466702	586.536946539196	418.106985058637	456.916781049194	693.672501923024	290.567060679667	260.850020177781	153.512654643189	272.661165355631	639.499501822355	68.513209040769	170.861906012433	292.613511923236	185.927610423257	490.02321169575896	586.680313295834	8.81408486793193	65.24237005306621	255.115200082175	85.65386117024309	83.5219060336707	126.5219316136	56.9551175472024	1185.08115889606	623.324133717486	272.487967523189	684.4762585346799	75.14701945485929	488.65939763934006	254.35243213466305	542.372102915382	271.614606799746	163.124701090776	727.379723982442	380.01737162386496	300.512075934082
NM_9	371.836103600326	363.556949765941	108.850192455151	146.99121910473698	743.609076028536	118.429772272717	422.549093078121	261.071435639401	586.909904379934	439.25699170875504	1.93681665941674	72.3557500804212	649.454372913938	599.991293468285	604.7362521826731	770.57138644416	410.459635255159	464.152374577207	356.24650147374	32.2299856217945	340.17364278470296	468.253024172415	912.226330007019	157.73251813156298	58.8225778716084	130.732715827629	218.923305272747	92.98565479936501	183.07369545089801	330.803493590342	654.402655992096	727.3299545761349	119.320787836246	344.98534812189797	353.02388342725	339.863772982934	477.650348613012	75.9636358635915	4.56174107405355	458.366661869884	113.244193112008	611.4057481643019	304.432431152116	93.0516500749351	1169.45066991194	599.324846184141	91.1546844609293	549.554402578594	1.3201528382301102	636.785042822469	693.4471620782422	256.209567736094	582.7881000127691	614.855215432056	317.519117113021	449.067796956698	98.9455039345891	92.38870616489572	541.2803857221791	84.26787382141279	218.668688585157	243.03448798677502	557.631635005437	444.5694524674109	477.622979586166	129.634341324724	123.695214586525	261.402668525615	432.532276933851	460.90004520366097	473.330339931507	191.58323268807598	199.142497352422	121.857616371215	158.03846885976802	211.918340621834	108.48589734910801	970.528678235616	146.232898394804	601.393449501193	716.0277832658528	633.306879731037	391.809852738889	434.434247673874	52.2239154767755	132.756661339424	236.207699892623	46.005781311347285	159.13486472793699	501.72515693451	379.754096349892	347.035023704478	0.773830788603266	462.777684616225	740.446425610869	429.338775175047	391.196297885298
NM_21	794.990991474789	697.943968141659	636.773625862633	708.65240368389	127.341089129622	358.10907330083506	518.508629054572	153.387294320512	713.620254597059	673.9502580368979	203.36574923875702	116.772151119888	5.937868552356	12.927569060786901	3.3935816620801003	619.718786981546	609.244218940715	465.153782073598	267.53413738126	815.597691707077	660.966076059079	363.288008564625	568.3943424967131	890.1279531985872	539.415554524749	195.53067062915	221.404022612948	583.877455785623	273.878248394544	337.315373385428	625.070852245928	46.924513198460396	655.0127164437271	404.292756636801	503.2264571347789	383.237995758728	448.81724100880996	574.027097422045	455.26175919054396	311.751062955275	688.782718864809	346.55717522677	107.942801073326	618.472605239439	992.475689598388	486.50134376496396	85.5355600763514	436.059471611276	1268.66687753914	602.34152467508	877.78121782056	526.407588883067	262.802149483837	684.856337376786	553.551027179337	77.88260685226871	226.92936228476398	453.480443236855	613.750389971713	131.66855284595698	208.646373691671	439.26233384276395	56.606235086945	770.0578015953371	585.985418596322	697.9650297814592	549.6268497193702	347.063162439929	429.4205339343261	125.492586565353	941.625250714805	615.984499801728	458.381251302319	687.680561177684	302.132366937792	255.03066779705003	675.895689405298	6.855399341724841	85.4900021385006	11.3070448789884	135.698813764093	804.405153256324	566.627790506067	86.64448733244629	115.160429000069	1211.24649107779	455.433146851789	150.36035843220802	195.23490348566398	27.176779333952602	313.504160538073	425.30839232445	0.773830788603266	709.2378308294632	449.494536017892	167.36935303433995	229.604732174355
NM_14	719.363309386587	135.177730832737	533.36594303024	276.962402313136	151.708828407513	12.6889041720768	314.049390468384	339.956329861379	225.435592410836	300.502526818805	626.882992097883	79.51968573194809	64.5743205068716	223.57090022772599	14.253042980736401	66.048975980928	455.915495688375	428.101704707133	502.23771482278295	400.188988137282	567.401616354052	270.59163114475797	286.992553260635	619.861123885441	478.715660338089	720.735146388843	259.234962051014	585.085061692109	123.757818124807	504.019496139616	83.9496452045502	709.28206488442	655.0127164437271	393.433653669283	101.41065485986	55.8517389167758	455.34549178712007	574.74373549623	518.213786012483	473.028221761345	619.259385118829	640.989897269027	785.115217181772	559.112069846808	363.860559524659	449.69367630906197	428.302147535599	387.608419210023	250.829039263721	598.981181441188	458.640686311243	126.63231508795401	142.351164303745	298.767675104309	357.560244713557	798.7109894211391	733.4873226455409	270.818802803969	387.361792625825	369.257141536885	351.69214080779506	874.024029019107	530.532905442538	561.004309066019	355.456408218028	40.3497618692848	126.029086559855	86.7657906099822	999.906750513746	61.605451586628	1.25885728705188	628.037749540382	51.2585718037298	459.488591667256	553.134641009189	151.803968926815	478.90813895560206	13.710798683449699	1029.2546310095802	505.990258334729	37.533714445387396	339.763870175806	34.6914973779225	462.911806447475	91.05708339540341	321.144685525845	111.156564655352	717.016933120755	141.4532130915	377.8617588163031	11.238828396647902	587.396606988817	389.236886667443	390.96735424474195	283.11186861592097	76.0034743247729	405.18482148415603
NM_20	564.506627015507	127.351651679263	404.106339489748	415.443603469704	402.46072613806604	21.853112740799	422.0038684418911	85.7716707016738	501.3998520861689	559.775155498883	484.20416485418406	496.4607406508111	402.290594422119	687.4424959383141	152.03245846118799	369.385013819264	291.731641586311	7.00985247473668	557.420996423617	344.681790677524	244.604230371712	81.10933024238348	123.928602544365	269.344416926412	352.30969512463304	653.663579138146	228.225995298501	458.286441511156	357.35985352015297	238.334800500129	587.6475164318509	113.701705057808	250.323331124991	105.24976722363	449.651016831456	5.34750691756364	277.450658078173	466.531386294322	764.547804011375	357.279064723495	418.573473274764	91.56998532414671	206.609267679414	223.003092420965	1289.79365652515	359.274841036955	485.74208568906096	384.953567023653	526.740982453815	814.883234218727	553.002167226953	459.41025938885804	676.472199597285	441.656563197674	675.079361826578	411.783570272102	865.7731594276552	102.967565649426	284.749397228255	302.5450747616	686.984129971703	865.922879419548	0.0	2.64624674087745	573.561699474139	759.777430942917	112.60932271320401	378.0114699186489	401.41484693861	35.3660925775087	879.941243649263	512.580304675383	380.0204461311	628.692160896077	532.2177848365731	151.196753051108	6.4235070798814	471.063869052807	21.3725005346251	678.422692739302	856.538611702431	34.8683685383285	621.04582560869	218.73188760148997	1276.13824229146	98.6192341378578	653.0448173501931	973.976053128036	251.963535819234	74.73614316836971	306.997470413698	130.917404151989	312.627638595719	818.283147319493	557.51260281289	259.543779343108	95.025487895689
NM_2	74.72735253953292	531.461920695025	1054.4862394092802	420.859069436721	549.453217911149	604.837765535662	516.8729551458821	237.90682384405895	136.816083670024	404.370154822139	204.65696034503503	94.5639506001545	613.084928030758	692.005167371532	542.2943496003991	22.016325326976	540.721205451837	232.326539162701	224.225739162884	77.8891319193367	537.32732573458	29.308413448928494	469.624178062858	467.663080074284	459.942497187576	118.22784735716002	618.938976380173	82.1172016409977	218.223844977471	111.35314449596201	147.670460239329	136.261567172452	541.5328063337312	24.2241527736926	279.357653010181	538.315696368074	375.37441975282303	609.142363057102	621.309134286093	504.66632468502405	430.757975065297	296.545875549737	629.9474406388649	218.992245434976	396.42395590235196	634.5321802723951	531.943775073368	4.64599132614753	191.422161543366	815.7233200272	378.54315018511596	534.506167173575	189.801552404994	603.3086386164309	204.42049353957802	89.4821440430321	882.9810731554089	556.44800888628	92.99248332904742	181.410006143319	471.95991952963095	603.985709033801	43.9601612909254	504.5510452606329	181.524340507459	733.163758220622	476.693350552787	200.611350263844	146.251920977633	1097.48971159882	261.842315706791	373.016360333076	375.896193227352	166.87507974402	153.39027859918698	214.34720412466305	229.105085849103	265.401888801062	456.696590371464	238.154632763692	445.592558672164	671.418817435722	566.627790506067	52.713779006453294	716.404994360894	204.824563209397	498.66069977331495	780.976190065798	372.78815533489	396.676452201347	450.14465314995005	309.630051089624	625.255277191439	711.010925406537	672.499577143048	280.5660169223	195.83933038400903
NM_24	757.177150430688	99.60464377149059	1136.12388375064	141.57575313772	499.145627143891	662.642773430679	198.46176758765895	388.163765219254	759.484737190988	486.829951099595	183.99758264458998	649.052570028333	469.09161563612395	231.175352616424	87.55440688166651	412.602245016661	30.530055514846506	211.29698173849098	257.05629910262	53.7166427029908	330.8171968142	579.3523588741671	389.48989371086196	799.731539298627	23.7793399906502	887.845661403291	21.086097391709306	353.82853060018095	264.358416231097	485.135044733868	329.72993176727	351.03145450386705	721.765604743725	122.791395094235	184.643928188236	490.188134110001	167.014415745097	683.6727227723238	875.8542862182809	769.346063778239	321.097458950504	558.576910477295	22.7691846014048	687.459173398443	407.750354642419	413.686175536984	37.4608292305189	502.430776270526	611.230764100542	108.371069293006	158.000619207701	244.429817495354	621.721751788153	601.865316514478	74.4624478185403	720.8283825688701	353.837726026954	562.09006727803	583.607998823677	518.48150142897	449.18193113534403	413.158629577518	251.71708793981895	752.416156656154	393.41777220247803	7.726550145182201	291.150528672999	167.452449393787	736.445843220705	805.4342374103578	329.820609207592	259.462060163653	438.93834475607696	614.721223987275	366.04498302078696	210.703908870419	4.28233805325427	621.8826545707531	1054.0017368917802	162.53877013545798	899.8467437548012	314.626209136546	538.058322077189	10.906299104783402	599.90549060501	126.434915561356	345.82042337220594	883.086582732447	348.475884334789	515.836176973293	517.5776235298371	44.3318193953824	455.01250369872	314.724287430574	513.956930718133	130.984711070353	351.642541502321
