	SRR1568567	SRR1568605	SRR1568681	SRR1568540	SRR1568432	SRR1568755	SRR1568476	SRR1568404	SRR1568667	SRR1568533	SRR1568463	SRR1568718	SRR1568747	SRR1568693	SRR1568489	SRR1568740	SRR1568368	SRR1568585	SRR1568733	SRR1568459	SRR1568649	SRR1568622	SRR1568593	SRR1568428	SRR1568673	SRR1568685	SRR1568565	SRR1568440	SRR1568388	SRR1568626	SRR1568731	SRR1568708	SRR1568569	SRR1568454	SRR1568706	SRR1568544	SRR1568484	SRR1568542	SRR1568653	SRR1568591	SRR1568488	SRR1568751	SRR1568608	SRR1568749	SRR1568501	SRR1568520	SRR1568661	SRR1568620	SRR1568447	SRR1568601	SRR1568480	SRR1568524	SRR1568527	SRR1568720	SRR1568644	SRR1568581	SRR1568695	SRR1568474	SRR1568583	SRR1568384	SRR1568393	SRR1568735	SRR1568493	SRR1568397	SRR1568499	SRR1568561	SRR1568522	SRR1568743	SRR1568655	SRR1568712	SRR1568651	SRR1568612	SRR1568422	SRR1568526	SRR1568677	SRR1568434	SRR1568640	SRR1568663	SRR1568469	SRR1568497	SRR1568495	SRR1568386	SRR1568550	SRR1568635	SRR1568727	SRR1568556	SRR1568505	SRR1568482	SRR1568552	SRR1568467	SRR1568602	SRR1568408	SRR1568589	SRR1568697	SRR1568539	SRR1568563	SRR1568370	SRR1568687	SRR1568441	SRR1568461	SRR1568599	SRR1568578	SRR1568508	SRR1568722	SRR1568445	SRR1568415	SRR1568672	SRR1568537	SRR1568665	SRR1568614	SRR1568559	SRR1568529	SRR1568670	SRR1568456	SRR1568741	SRR1568406	SRR1568704	SRR1568436	SRR1568514	SRR1568573	SRR1568546
NM_4	555.477043472853	257.259920497261	363.233808952475	608.797081522499	287.529624586018	371.072004941388	72.3216278252614	431.902607660681	116.83318076769501	209.42844241863602	596.160989264719	4.447101587790269	282.138422881202	12.784574499598598	572.658619986187	926.5497199349048	651.722136159045	340.66690798037104	596.317117700736	198.757605240388	418.402391918284	808.806568341415	478.091845701071	504.353273462871	121.216912845441	320.63971377923	246.27345933260398	239.613288976513	172.92715820637798	706.5724193966562	383.185680403789	720.301923197404	384.135683602055	164.737142525856	60.6308262793356	328.898296409273	231.657253599734	520.501319926595	528.426172015957	276.096529008978	285.82245236151	495.1365644618071	748.156283755368	319.089888423929	646.723135611268	87.76499755519579	638.26370614775	149.347371815704	401.39440893485	9.61273294043424	271.879879416488	470.528128400333	872.4193013554269	334.396828338292	338.970352279839	230.773069356652	377.73245864387	743.029619390405	175.12286246369598	526.333324621316	123.87359161985701	547.337499352293	461.676610607864	322.900093098289	239.487306897488	196.15495967272702	843.1411659544078	465.444916579993	69.6448056165808	384.9972615360591	526.242346632231	227.091124705729	171.738124897623	288.577158179869	664.754434348991	671.839142529545	447.7459359763501	330.533267227859	147.553066627764	195.460833867076	107.645554685572	126.471697870903	69.7767539328866	444.377732404928	770.7455455277901	104.819332263064	140.128763297105	544.648502017209	382.4909799647229	472.7462519487861	588.021298231134	49.057842264890006	151.517457531972	296.07854650486803	710.7433213946001	90.33042037390759	490.33145435115995	214.538279938919	211.11334184740397	279.217686528458	471.051609313014	357.171479827967	586.482167821929	138.424050003283	209.995859039357	147.213510126317	107.14904892428	808.03394279119	1018.7000373053199	253.555635957059	645.724338790112	490.853334273528	399.970159103544	304.139037819044	456.879117535022	582.122897652317	653.556309160668	218.392050747276	597.5146007016069	165.258671037054	144.71754268165702
NM_8	414.08288695249	149.162442166252	714.305771623059	554.454263120103	343.219572926889	472.650375009142	545.032557523709	359.267991905811	440.951037090977	256.54984196283	46.509013346893	628.523691074359	188.092281920801	106.111968346668	190.137633302603	407.191738567527	221.285719834944	511.000361970556	387.801001380544	250.913856260915	551.1532924702599	807.8977969163119	212.418780004856	507.057580559187	188.559642204019	320.63971377923	164.668052689847	704.273709544948	241.624248452747	648.64492347446	453.436388477817	261.1905622405	436.46554469155603	402.02999403422007	404.20550852890403	485.271816800289	369.580358344085	887.013495030617	73.2794383381143	101.358572791059	409.733920148292	55.9409099271754	667.3449778445099	700.963666931269	574.048439816568	381.963158374021	582.679179185934	240.307911028561	83.8550531722575	707.3369322002859	298.00647443549	568.738049281399	398.318558140031	479.499988563981	622.875900497342	78.2739065654141	108.220869694111	337.595627284792	100.157988005552	393.595753719011	336.598921731445	222.13697414297798	506.528612933758	911.8937814349832	251.33008581000095	279.092962755826	965.054821031599	594.497317891922	494.253459214444	600.271257046497	127.74220551494801	734.3165565302049	256.28612484722197	376.001337467604	452.554929995852	8.76311925038538	574.6433349004039	415.99649214465103	667.236823304166	181.228248876755	509.347258756123	701.7636894056219	294.481554733708	96.727547386476	205.248261295246	669.764703945606	108.20069064713199	514.159272896653	314.12302702416804	282.60383200092997	519.399094413416	354.2142509295449	384.657322526987	704.2858494831149	532.003601186231	268.434739790386	82.6540981352398	519.196088128041	409.450371940354	515.722185882591	291.79591821535803	927.272111091838	355.308588363602	294.43291417636397	340.17428749362006	136.339784946532	401.017748505638	70.39314102843491	93.7384734992696	359.925317382947	169.859213617479	68.9880930011302	310.792120301755	480.7818513532901	94.68729162956859	301.188165900918	189.78041645318905	275.54699515772	339.965203847466	494.730072155232	569.721360557098
NM_18	399.494600962294	341.805434275704	520.527020864931	166.178763520372	383.17105760621	662.6779380610632	202.290930003992	460.01923311418	385.926377761676	657.081738088472	36.643465061188394	344.650373053746	130.871437119594	552.29361838266	98.0631100891379	209.251310097201	391.176046675966	606.735222972339	159.797397553792	634.332782682088	113.786486187409	201.747256372802	499.034542321268	544.241803133527	318.755585630604	45.021329674481	668.872886589735	70.6458633152637	382.176915853365	114.424683303102	151.677665159833	242.53409350903598	8.050747859923309	424.03459429940597	35.2049959041303	102.780717627898	421.357316759439	615.9565792902961	306.959425038545	351.0596401356981	127.215773594429	159.491104898755	37.3643672491067	79.03383810500091	775.741134887254	250.933725404292	388.452786123956	477.542830867499	411.87629058138197	550.32896083986	324.133069454492	145.849061606957	883.5093772201151	523.030936631688	221.689470900317	472.3425396188781	738.815552719415	689.557025943405	502.63333858001	331.266807382276	409.2368393305229	227.140059146199	182.996169489646	874.022782861727	290.806015518378	568.059497307259	153.81629378898	480.1238627007811	161.755677561091	331.958740903053	19.4390312740138	687.074972193612	375.181749776345	699.3934343018809	108.50330643299601	683.523301530059	330.942648330345	564.283677099615	202.305462420457	499.08931366059096	11.0271056019367	407.9483425226089	9.4612547705609	191.179152481506	522.9146574078051	97.11202842019141	163.187926877642	464.960744088482	412.055500155232	337.78241661324904	117.131003068174	217.018590358242	106.953499434333	447.782158204145	650.882377362552	827.460737576078	121.18457997271999	285.826861987587	130.196700735863	109.155922778831	333.577319899774	977.3153678809219	280.23292429514197	13.0758874595935	411.439850516026	754.469239397376	269.454992231522	239.93155111100398	281.21542049780896	264.068918423571	350.091508982591	87.9140300191394	530.409678544966	389.61136694851797	506.55113937348506	466.48232202441596	978.555272336754	466.264020190464	709.364624478263	331.563283030039	163.846873036129
NM_25	481.413437676473	458.9613605115461	282.965623491995	43.316739306258	394.066917064206	496.144691895562	77.56232549375859	44.5179903013722	525.372432226344	712.0567042233638	639.1465925095749	287.579236010438	35.1256671056918	485.813830984747	109.291710481024	495.79364464472	97.08018676629808	139.872361853254	311.79980010496	327.033790182766	233.499351863745	169.940256494207	513.395248575118	101.411516111837	282.839463306029	491.94038278457197	185.79802405270402	0.0	305.583608337298	32.8970964496419	184.67420986127	397.463899061631	55.2051281823312	468.63851375586603	501.997163818155	626.962377530177	107.571094638798	560.124257775679	111.547589470241	312.522266105764	397.06741455231	979.5610397886239	810.7198754282912	180.96533024042301	44.91132886189361	566.146040567319	410.175474821677	445.58372249541395	176.958825444396	311.61275948574297	428.63944953049895	223.53750648302398	638.603535208263	55.4030248134449	218.828961598377	514.853368184577	862.645201696331	231.448538800449	447.331382012528	358.968561309713	546.730040500208	984.607128633742	563.341149213223	988.632383807107	361.86268899345595	541.729972518974	173.185753006851	395.10829975121595	487.513639316065	395.6049656626609	388.78062548027606	72.9343758178985	221.057791534889	133.844097493612	246.535993730669	322.044632451663	416.021586245336	338.457009935376	361.92261625678003	840.671353428296	378.0721920664	350.88184470281095	476.019380643845	443.239761259205	528.024572626774	299.814119487734	583.574216768958	427.542144713254	1402.46692653732	674.819176677683	86.9608962172804	741.6880559369812	363.54807921758	547.452163958259	578.3747550138739	188.330404741826	98.190582747127	267.668449578964	167.91724020139299	360.68913613874497	497.333458759663	224.70403538627602	587.968814635166	54.5580131934763	386.7344553349249	570.452351739479	202.54334986530498	698.9741468316431	46.3045471502416	222.634216937905	526.433898692341	308.92013326169797	441.897147495429	511.40943595801804	202.31000561290298	160.06746343975001	450.728489076323	87.83812509394559	400.30534825329397	204.48145688445598	733.568233593227
NM_9	543.694197096156	484.32501464507897	31.6208003329164	71.6695141248997	328.691760316227	419.442657354604	625.739301618566	705.2586884585809	343.715680193992	503.500880314805	191.673509550832	296.47343918601797	480.42847912300994	125.288830096066	163.937565721536	217.73447131735801	124.20553306864599	509.135397145846	192.276543398059	118.40878610065701	376.917735495791	438.027826899508	436.2064524606769	354.94030639143097	416.62701896507104	393.113073743029	30.602027491033606	667.858316083472	454.8221147345829	273.904085656801	405.538178427343	155.740956367006	429.56490366876506	491.237832947138	479.1791109173301	21.290291508636	418.232845130927	141.381846416048	320.801096724634	410.7133834971029	434.516213705649	805.787149376547	659.524528885394	655.906992871409	349.4917955071	79.1121104722892	554.567464400648	318.976485482924	512.379038133426	759.405902294305	317.60142069974097	374.51693709123003	856.708360547119	420.799164654498	232.41638078258998	350.208254374568	174.818327967411	596.179512013569	442.415652539862	507.865488669691	217.913752797236	337.207929217044	456.892397026436	717.555762440642	615.824503450682	375.195728233068	246.10607006236802	527.830437593342	649.269316877156	315.73519341530897	601.9157183775	548.665418084645	266.85462484092096	360.528031398978	488.26487894848395	567.411971462453	293.450235011875	11.319632439310201	266.337925296656	903.294727385708	503.571155821775	268.36677353094103	414.52122463519896	397.7209154302749	160.96232939751602	734.506056225733	581.8004349550711	432.39270389152495	68.36795294055429	181.194541362074	499.877260568721	197.062857911507	412.802980272865	131.916184086328	309.422062813545	848.7650820038872	520.782964190459	162.753177884697	605.962214639811	50.623036651051905	276.97025955314604	342.45287489000197	622.905014746231	301.196304241671	70.7904592689237	7.52796358600486	391.071423289038	206.222159632598	574.854012182268	105.13282466512199	241.174150632452	80.5878608508778	253.55845360807004	340.46477769907	138.150310738223	399.841990306642	626.275374295522	524.020595594703	64.7552769233269	187.746401589565	355.140176580848
NM_21	423.06029371568803	300.74047044046	420.799881353425	730.083951580022	279.055067229799	353.105762616479	926.555347790306	177.290943831781	585.673428751606	787.9745146001201	474.9556817546341	597.393979959827	252.67818595384705	359.885772163701	128.006044467501	196.05528153251305	94.2248871555246	161.008629866635	461.20387098858595	129.685813348338	1080.97161878038	385.31908424355004	137.623434932724	613.877710863655	673.427293585783	333.816688318103	483.07486253703	562.981982914421	213.987488008805	232.425137959426	128.792964802385	443.699495483086	295.002403724333	109.42828239984699	483.0907771289	24.9610314239181	328.069520993843	699.705061562223	745.007623104162	114.55630362322799	482.428647916538	1175.94934059679	713.3987328259669	48.749844064766904	146.982530820743	279.364640105271	329.673746118358	358.9253709480301	10.4818816465322	369.289157128349	633.569929210795	126.79340531660101	553.579620245658	257.228329490994	32.1807296468202	520.251568637364	0.0	547.4955090245089	532.742181600084	135.046050396259	487.06317961525	482.29739431043	149.506674419645	974.679910648539	76.320130769529	570.03421166638	352.068405783665	352.294706898917	158.7602020507	53.66250322868901	304.081989214931	766.6397458131371	570.698999659792	296.313811214182	580.286670480266	28.4801375637525	377.808164978434	447.69146297472	799.9417825983189	889.062142395387	55.1355280096834	424.91405809065697	28.9750927348428	110.38320113515499	488.848555948013	426.21390251084	580.026653141183	647.203181786353	583.899273762572	11.9305047810419	502.24354345898695	574.558796695576	371.9917765413431	91.6084611710608	392.047027815527	443.130364098415	55.93134460279389	431.09416125657305	106.46926462044901	296.619355377257	531.702031112973	931.197072408629	322.602358472392	326.44629381881697	445.647320766781	577.980315325484	6.32947968329079	283.55546949482203	318.484934057759	251.70035081590999	1189.0144953223598	213.069419976942	195.65927916213295	634.632043786342	508.620806950087	467.788995195352	576.45801497656	127.545770684359	459.909637239538	385.42924226047097	547.265190140979
NM_14	416.88832656599	445.67563691779014	468.636476728863	356.772416467907	565.979366290373	632.2735279727559	727.408836387412	442.055833518889	556.27669294554	61.955914215513296	190.968827530424	40.765097888077506	306.499772648053	338.15199551438303	163.937565721536	500.50651198925203	164.179727619475	611.708462504899	102.63410086788299	649.838695147651	1118.90044750952	796.9925398150798	66.41826642405371	198.766571579201	811.7043645353972	375.54377435786597	589.4533390534809	38.6003170691647	636.435111937628	663.663163157993	283.663843965583	760.8594639179788	448.541666481441	152.248045078048	181.240534469412	326.695852460104	382.524597947923	283.664214146847	59.43776665202599	254.45225044422	491.79084770487196	382.064512481347	830.705467212697	179.48806223846	58.7930123282971	147.099080409413	486.204885263702	159.1809436225	508.679550493474	4.0053053918476005	346.1773840017749	337.13853436784	329.929756974457	318.567392677308	125.147281959856	47.234253961887795	340.271388365139	671.998860930957	15.3616546020786	438.033983977609	236.72178503271095	339.209163218332	215.28961116428903	33.8845776708081	634.246603981258	99.39395607577772	395.36484403537804	2.4464910201313703	421.613178087473	217.769925893168	660.2328121995411	234.55032223256	81.02516661836559	464.19918205876996	311.775323547977	94.9337918791749	501.100524160327	421.656308364306	432.451126091435	89.1908659393452	276.202740315176	364.762884713032	563.5359872715329	421.049323917602	678.767071586352	443.94070134944604	202.211126783165	362.406064319339	116.410298250133	378.047870249266	460.83359287933	377.495938784069	437.664977948389	511.54164717920304	573.316083687222	189.182578518939	446.829297437876	432.4392288423969	233.623986367156	397.86542867936095	189.364094730983	504.357529207624	209.61720066639302	390.923945774744	372.956446483927	712.6472194751268	389.26300052238406	626.5981004221251	452.8810587133391	611.6256681988569	245.064056287814	301.593964093437	77.19889926124971	710.132601184044	76.0602834401453	180.32089758926998	923.9934026064619	248.473600436983	518.042215386615	132.31153092523599	379.259767027791
NM_20	522.9339439562619	84.5455137784426	549.7154519414689	493.02325101304604	287.529624586018	462.28523520630995	769.33441773539	477.201615335762	753.008694109207	126.52968396126002	223.384200469168	454.345545552573	303.667057558884	27.486835174137006	81.59449618103841	853.971562829119	45.68479377237561	262.338385342548	258.534000920362	525.086581220173	854.58392230335	307.164741684717	312.345361021225	262.317788342619	696.7727730967571	234.440338670773	472.87418670668603	278.213606045678	536.153152612468	650.790386286394	311.338365328078	201.16540197404998	20.126869649808306	22.5993191912727	340.314960406593	599.064754174034	41.957190440028896	294.47046992387	195.411835568305	351.587549368985	331.53201603396803	117.83298048490101	620.4222840898179	541.4187227193049	548.734781730773	508.048084439232	352.674240033592	194.82764142213296	443.321935520979	662.477511811593	682.557294871423	446.34210310872703	475.949089192844	604.156794394233	626.451537124766	348.18392920477305	835.589984272803	54.270691856656896	380.354567947465	429.954305748773	345.030108595623	607.374519390936	71.1651770237511	273.069831817689	616.4824356124881	595.047260215252	86.5928765034256	9.78596408052547	20.968328572734002	438.659764764748	272.840688953123	0.0	195.517249883447	68.082546701953	511.613691725205	373.162828078911	27.3983020404208	500.893735439478	201.377455712106	126.19558691418	47.2590240083001	199.732742369292	473.062738528045	153.057119099777	340.66101459791804	279.775129496266	535.6821077939981	27.024543993220306	345.535329726585	332.562820771543	495.144694788189	253.604099843923	106.015310842804	727.737615542907	185.48461531057202	356.208638832956	447.450756822351	339.629565420545	562.157717195969	554.480448318553	77.4977611888364	449.40807077255204	336.725503198142	357.106995448209	338.273872479689	138.849106141867	416.84144771386497	416.41013002736196	439.328508327902	388.991451260951	1094.36012437521	287.552139854269	192.331740400872	116.099913734202	128.319389749361	542.269365938746	801.822259514722	90.2446490691222	14.7171083916652	510.942156972158	588.018980896158
NM_2	396.6891613487951	327.311917627971	788.0876390665311	332.357527040744	142.85682400484302	108.488463269642	242.120232284571	73.4156331285787	636.929275798078	856.911376896254	502.438280550526	352.803392631362	84.9814526750608	503.073006559205	726.864732034755	23.5643367226578	7.1382490269336785	366.776415526312	196.823623816256	116.99915769469601	755.020746889367	385.31908424355004	79.582247156749	526.6638070074749	152.643519879444	518.843372468104	156.653235966005	85.9403285690837	359.277885771242	597.1538159880639	308.14515132471297	104.63845505908199	477.294337409739	421.655718595062	526.11910545617	134.349080899324	197.28806568609298	599.747195624762	716.5100637504511	65.9886541608455	239.562171054445	1022.40939632859	508.32918234249803	12.5567780166824	597.728958671021	280.60076683140096	33.2229356553384	530.3982793290239	599.316997672311	612.811724952683	448.234395794751	565.806409852113	578.532290941205	230.845936722687	42.9076395290936	520.926343693963	947.9731951089959	597.775708832883	39.3258357813211	442.073823092027	621.313616606404	674.415858434087	369.580499165363	541.156637507318	286.200490385734	282.384153354362	705.2761915213222	40.3671018321676	155.015857662712	444.89959072157205	406.831154520432	43.926385435779714	200.801499880297	167.885370844589	94.76871068198419	433.774402894076	553.01309644744	306.19605748334203	815.7178966402811	249.544656830295	501.995855021498	427.227564759027	218.791516569221	388.04816069162695	489.700208484508	605.023351665478	112.930775484165	480.205358648761	1413.55362160876	135.709491884352	376.830550274882	323.449163407495	337.27879865476103	477.096865778885	578.3747550138739	73.2869448316609	597.222468480943	433.111762635309	414.317538323003	707.140543219382	486.551161550782	957.6905612969679	172.45103033547196	39.2276623787805	385.78424782796	818.038709679195	383.385626530756	968.6492786588859	1004.0181077210899	353.741033579116	701.4796531836362	164.228292188531	397.308128094535	107.552680821254	399.445842284301	14.3734048803041	1116.14607426532	569.142920129264	654.911323429102	521.401566531465	581.365300772864
NM_24	154.860266665159	405.214569609536	623.4973193849411	632.424393871367	415.253310454755	641.947658455399	190.761395133298	591.230151897171	373.866178456623	674.5341082900251	697.6352002033949	119.330559272372	121.24020581642	563.1605067073191	148.966098532355	246.954248853454	353.343326833217	28.596127312220894	227.354020909867	592.043930503283	165.93862568997102	242.64197050242402	67.61499194520779	200.118725127359	865.578548022259	226.753770189764	278.332726227972	325.553617545597	745.402910259455	484.874595496895	266.101166947076	610.7965632518531	467.518429294118	485.290643686277	113.438320135531	86.6294620006568	100.429445202197	556.5221725166708	162.02898032538602	419.687840462978	60.57893980687121	214.24178269982102	732.5153858371381	243.01058632285304	236.80518854452998	122.994609249887	484.92708004618896	287.631975348764	16.031113106461	51.2679090156493	495.588849266691	21.2543858623203	575.759771975033	136.528882575989	453.390724357422	504.731742335601	351.717826505862	702.3266004979131	476.825758848518	472.0840565134169	468.25514737977403	688.424496443104	540.018108003758	544.146453184154	452.657327322724	463.399636273824	1000.37559960536	532.111796878572	636.538545957996	401.844791619485	23.604537975588197	191.45273652198296	680.787541260833	171.753697361745	586.467238568221	487.81363827145293	468.65516648088095	120.554085478654	15.776114041962199	577.842950607034	369.670587798258	707.933040521276	199.869007028099	509.242087711153	436.046098685336	514.077166319585	87.50656948511221	288.26180259435	149.670383464457	364.626052370593	51.4666528632884	771.621654607083	193.73594415078801	197.874276129491	33.724475511013	143.165194554872	245.476456867818	310.71061232533	42.587705848179496	64.8607657091603	481.160012946341	947.87815800499	547.0860272711531	219.58473078696701	0.0	181.50756646256198	409.607756647247	818.939922387145	68.8921311259692	69.2639786029039	0.0	525.042123725416	422.59742268011706	0.7122694094122809	8.278670306410369	625.2431122932289	1041.42003528687	128.749032671948	105.963180419989	62.756457355843295	766.8366342097
