	SRR1568730	SRR1568603	SRR1568721	SRR1568671	SRR1568676	SRR1568385	SRR1568646	SRR1568699	SRR1568636	SRR1568511	SRR1568596	SRR1568519	SRR1568703	SRR1568543	SRR1568555	SRR1568513	SRR1568492	SRR1568625	SRR1568592	SRR1568692	SRR1568715	SRR1568464	SRR1568650	SRR1568390	SRR1568713	SRR1568536	SRR1568460	SRR1568707	SRR1568629	SRR1568742	SRR1568439	SRR1568709	SRR1568754	SRR1568615	SRR1568444	SRR1568545	SRR1568737	SRR1568483	SRR1568732	SRR1568416	SRR1568711	SRR1568588	SRR1568383	SRR1568448	SRR1568680	SRR1568498	SRR1568684	SRR1568470	SRR1568394	SRR1568725	SRR1568381	SRR1568619	SRR1568487	SRR1568746	SRR1568658	SRR1568584	SRR1568485	SRR1568728	SRR1568507	SRR1568379	SRR1568634	SRR1568462	SRR1568414	SRR1568551	SRR1568449	SRR1568363	SRR1568633	SRR1568453	SRR1568387	SRR1568425	SRR1568427	SRR1568506	SRR1568401	SRR1568528	SRR1568590	SRR1568517	SRR1568570	SRR1568458	SRR1568594	SRR1568500	SRR1568717	SRR1568660	SRR1568690	SRR1568698	SRR1568682	SRR1568504	SRR1568479	SRR1568399	SRR1568396	SRR1568572	SRR1568560	SRR1568750	SRR1568375	SRR1568627	SRR1568577	SRR1568377	SRR1568579	SRR1568419	SRR1568701	SRR1568613	SRR1568654
NM_4	664.22843401017	48.9825866048179	359.741667808962	246.03556109612202	468.784515246172	118.858970698104	617.655589424404	597.1851366534929	740.7491019064122	2.24214607278672	269.603471731597	596.385862347725	319.518122356672	344.9224301226239	95.8699899831093	144.05526320387	301.229881079819	637.322922318897	150.21112445864296	119.956426471072	234.737799995237	744.870778814806	559.586219571402	322.212859243945	373.64939564128196	40.6656479021755	356.973593666169	239.670716221553	374.83735419815696	99.84887294309412	605.714726545609	108.379627706932	355.102119939999	220.101537073889	988.1215652453528	378.27912417472	286.501332004386	737.619415714974	137.765417922829	517.519836133104	366.964005665282	115.23888502577499	118.346067766926	346.852827905456	642.4763645008139	478.429849089778	162.596806875104	423.335085998555	404.084175331097	74.6338731963205	376.32529741794997	90.177537866026	539.201075248038	194.408697187429	28.7864671342367	493.616158867989	178.42888439536998	110.195603312253	249.47638631034096	601.183853191296	452.35462822189004	268.780263052589	275.439086385012	454.65646266642	171.701114337382	246.230125205588	568.881293499348	529.963122572636	606.7898849072	814.108204573988	400.93531910939	466.270450416344	805.0130014235069	752.878266752092	310.2873124864101	255.395522986113	2.93802828931064	78.6647200542423	1111.37002780051	636.550448897393	378.86588968930397	530.575842250579	289.143369407391	209.037399508349	1130.17909390765	408.974032754191	355.83201392069503	426.82359985835	30.5517259306215	360.85795037979403	334.24161455394	280.696219728445	507.58896248639604	137.232009895911	526.034372778952	37.2261560768329	376.82046486075103	256.78561226503797	189.917069603543	535.734766765511	553.855105451803
NM_8	223.684232914384	1004.14302539877	252.979624459205	430.758745944649	574.525383346812	35.439601354939214	87.2170922165398	589.437870015826	164.77585232787902	657.6961813507701	59.727538352846004	457.81194862089205	527.016950051828	667.013115461717	352.218006677075	517.315864217946	294.445424298742	278.45495771805804	41.5584111002246	689.560841475221	770.203946169112	96.6899568653835	157.447523411685	395.346699006551	919.680682039763	169.117456355079	451.982069499801	476.212571918021	305.821692698834	371.487421695114	399.720059415493	80.55242599839521	72.3356170248147	428.481690516625	617.575978278346	41.469101848030796	236.06095665150104	699.236504942475	76.5363432904606	572.7774076145951	593.7059929056189	137.33949311291	515.065904998192	318.903943012247	225.865217102108	202.17519429277698	390.232336500249	408.543011446193	42.4088342426695	157.183460216493	554.200393904741	544.43006069862	340.290349418739	296.275985012576	8.9337311795907	90.20763137207399	590.782251088607	335.558040161371	100.04708551263	172.206116515154	177.898844734094	633.228077361185	586.883282101398	126.460737960196	842.1939658248599	505.26991010395204	523.954258012732	492.756807460516	1035.17317117502	389.74317448621	456.236742434823	504.3333443278829	778.924617118116	31.0465264640038	375.866627062794	233.432763024162	975.425392051134	64.07368326998771	34.8709219249147	323.546024344025	240.57983995270803	355.077679044618	468.425738317335	561.068498390526	866.381367012147	94.8076166839262	379.293465387994	880.491451280118	54.6227827244444	520.597736414583	448.48586156083	99.4592904549609	57.8265906630072	501.606656860917	445.44240830331705	83.7588511728741	284.693402679722	432.30131001002405	173.34712393343497	50.5245796299181	48.5128559519827
NM_18	124.35326846765699	425.876377980778	591.833066395389	633.561221225159	496.277140952338	440.541506073706	334.59648104890704	322.802776569456	329.55170465575804	53.064123722618895	352.558386110549	538.754655237033	495.4410414895221	342.47617175296	304.977721757862	453.16169841865195	476.947311709713	647.291476891142	89.125267178795	262.546140955555	84.8449879500858	183.53186256855201	280.815496301361	496.038217520284	542.304110382109	633.867718094227	389.25802720186897	37.5463263010266	566.688229742146	415.5201544836831	508.206279095303	577.048288061231	268.518578349691	647.932039611005	64.4427107768709	309.501101597498	43.378722803481	193.583376069993	694.56731536093	91.50178503386681	76.8237654136668	178.383479560447	215.107003676991	521.712518006553	252.72114230632198	174.395396603693	359.424520460756	595.9092891094471	4.80100010294372	446.67242291737296	63.7164524728804	42.3969021310421	429.03513478873396	352.2312557897689	112.16795814375	332.685744500209	571.8154011725641	729.1137662765581	443.157282623253	608.102848944137	190.187909666383	707.028759758676	202.52873998898	579.310618655756	90.14308502712572	498.865080257564	553.711125672698	584.411388590372	35.2664206612732	228.504246970342	598.556581875276	438.9920431130751	356.541252173683	575.13690274567	550.137583390778	126.12899292434601	96.9549335472513	530.352467462472	1049.50226309501	364.901531215066	187.538615396205	6.802254387827929	347.106842062485	334.459839213359	202.200288128028	521.751720574287	575.5876093310579	396.400114753143	312.923738319699	30.7932117657424	736.412240841707	299.851342334586	638.23422287319	350.769749432221	511.04051892302004	197.584982253959	517.435454505479	194.63803057323295	404.05175210955	495.6635484383351	675.137245331759
NM_25	33.3630720279081	970.1273402565332	564.755736560306	180.00684821409595	521.654949296492	221.36120230931198	681.879084602038	545.53669240238	537.377103988218	597.905619409791	294.489946045282	212.39366216075402	533.783216172322	556.931488826837	42.3773144128237	128.891551287673	245.597335474987	564.884759093913	184.759683084131	380.99368155906603	469.475599990475	255.154052839206	655.008961033029	95.3919649077468	722.1403531720531	67.7760798369591	673.36104231603	33.7916936709239	123.468385251082	441.567686555795	523.704310478133	541.165843752855	146.863222444321	72.9330537049574	356.582999632019	478.411833515087	552.826513867619	367.140885649987	793.1078573473981	543.0690358503521	707.822848325921	1000.8418233745399	224.78309726799702	161.243566691586	244.457780705026	289.372892594624	18.8269986908015	83.1173712942254	310.464673323694	297.97008465500704	422.78521067942495	296.778314917295	296.836006237569	121.95379528362699	943.9975946434172	288.664420390637	364.58500394172097	774.6833766688429	127.624166775727	397.45786713542196	74.9047767301447	256.024589551788	220.53129465466702	586.536946539196	693.672501923024	688.8750323670779	290.567060679667	726.884351336783	153.512654643189	568.787627740028	762.021083175453	68.513209040769	601.275143038545	292.613511923236	490.02321169575896	625.624905201853	8.81408486793193	579.200721044542	65.24237005306621	83.5219060336707	887.493346597195	126.5219316136	598.506554857257	56.9551175472024	1185.08115889606	525.469666326597	670.997511964739	255.915198237921	795.270684072843	789.0760514971498	272.487967523189	75.14701945485929	179.191040202652	254.35243213466305	156.18597766596	412.351267312611	542.372102915382	345.567871824758	305.906689294297	727.379723982442	380.01737162386496
NM_9	679.393466750129	108.850192455151	146.99121910473698	743.609076028536	118.429772272717	422.549093078121	439.25699170875504	1.93681665941674	649.454372913938	335.574528893745	209.875933378751	321.828201505776	189.455451373838	770.57138644416	550.905087366708	405.920903602808	410.459635255159	390.767339232024	464.152374577207	344.02597780383	230.9669116419	32.2299856217945	468.253024172415	487.02897639010695	912.226330007019	356.95402047465103	157.73251813156298	58.8225778716084	363.44027248267196	218.923305272747	504.977522557213	183.07369545089801	483.3334410294429	330.803493590342	137.477782990658	654.402655992096	708.182869954504	119.320787836246	353.02388342725	339.863772982934	665.308725718357	517.785675184305	702.633257685395	75.9636358635915	687.924853307945	458.366661869884	308.648675506776	611.4057481643019	599.324846184141	46.3634666825627	549.554402578594	230.15461156851399	338.454250411084	228.84270997339402	371.24616235188006	614.855215432056	317.519117113021	449.067796956698	541.2803857221791	648.079268849441	84.26787382141279	218.668688585157	243.03448798677502	557.631635005437	129.634341324724	183.605122263126	123.695214586525	246.832139280406	432.532276933851	798.2810705847	357.83273916456704	191.58323268807598	504.375429904234	121.857616371215	211.918340621834	426.077543261844	970.528678235616	15.2254296879179	146.232898394804	633.306879731037	358.975430480616	391.809852738889	53.2455155785172	434.434247673874	52.2239154767755	441.81588689960404	173.614740858009	235.334605372633	374.0271901809409	307.932117657424	236.207699892623	159.13486472793699	204.177838637285	379.754096349892	298.002845386651	571.278318256013	347.035023704478	487.61948712031096	332.036219004851	740.446425610869	429.338775175047
NM_21	399.598612697899	636.773625862633	708.65240368389	127.341089129622	358.10907330083506	518.508629054572	673.9502580368979	203.36574923875702	5.937868552356	426.00775382947603	347.58109124781197	518.68086399623	267.643415432883	619.718786981546	575.219939898656	142.888823825701	609.244218940715	586.151008848036	465.153782073598	351.570407141633	454.392046577126	815.597691707077	363.288008564625	306.314198425987	568.3943424967131	382.773479460159	890.1279531985872	539.415554524749	165.25768487452498	221.404022612948	120.109743216933	273.878248394544	276.19053773111096	337.315373385428	678.796553516373	625.070852245928	796.9579305755818	655.0127164437271	503.2264571347789	383.237995758728	388.59399786913	942.4330734299699	448.077564752763	574.027097422045	99.16033921555972	311.751062955275	96.98756901321993	346.55717522677	486.50134376496396	145.30988948071501	436.059471611276	544.43006069862	583.879484434312	538.031449780706	912.2332171159841	684.856337376786	553.551027179337	77.88260685226871	613.750389971713	677.292806472547	131.66855284595698	208.646373691671	439.26233384276395	56.606235086945	697.9650297814592	154.427564074025	549.6268497193702	542.667717976774	429.4205339343261	546.036122630427	173.223576004665	615.984499801728	499.406213846065	687.680561177684	255.03066779705003	25.100297099372202	6.855399341724841	144.007189131556	85.4900021385006	804.405153256324	537.042398634588	566.627790506067	322.169068943433	86.64448733244629	115.160429000069	363.119368475691	365.21659450761496	407.13781537850997	306.4430691829	664.940916566501	455.433146851789	195.23490348566398	324.828379650226	313.504160538073	26.2392442478812	559.108228769356	425.30839232445	24.585856493461105	145.305677414791	449.494536017892	167.36935303433995
NM_14	144.82606266660102	533.36594303024	276.962402313136	151.708828407513	12.6889041720768	314.049390468384	300.502526818805	626.882992097883	64.5743205068716	149.476404852448	303.61498662696704	346.434784317083	315.007278276342	66.048975980928	556.4627679454388	430.416130544357	455.915495688375	433.96440904508796	428.101704707133	519.056738440866	403.48505380707496	400.188988137282	270.59163114475797	520.416164107819	286.992553260635	319.515804945664	619.861123885441	478.715660338089	391.932976771383	259.234962051014	563.7408915504441	123.757818124807	297.01442748067797	504.019496139616	904.346041235421	83.9496452045502	502.38613851473394	655.0127164437271	101.41065485986	55.8517389167758	722.7400843285741	577.773039992243	700.400313010548	574.74373549623	107.423700816856	473.028221761345	538.566265579291	640.989897269027	449.69367630906197	96.1193821467764	387.608419210023	659.5073664828769	361.099471505497	616.225353815502	133.013330896128	298.767675104309	357.560244713557	798.7109894211391	387.361792625825	375.163325265157	369.257141536885	351.69214080779506	874.024029019107	530.532905442538	40.3497618692848	492.460250411176	126.029086559855	580.7815041891902	999.906750513746	543.068535007435	370.031582545177	628.037749540382	262.126147068457	459.488591667256	151.803968926815	601.1521155299649	13.710798683449699	583.6414713701851	1029.2546310095802	339.763870175806	786.1467211053059	34.6914973779225	230.50590288421398	462.911806447475	91.05708339540341	12.393152507702801	8.60253220467614	535.990222882918	127.761762982599	430.142676852715	111.156564655352	141.4532130915	463.326633830761	11.238828396647902	402.95982237817594	714.4558416284468	587.396606988817	344.20199090845495	620.735657026344	283.11186861592097	76.0034743247729
NM_20	752.1856239019279	404.106339489748	415.443603469704	402.46072613806604	21.853112740799	422.0038684418911	559.775155498883	484.20416485418406	402.290594422119	732.434383776994	60.5570874966355	373.63153374010597	417.253077430477	369.385013819264	118.100712298033	145.804922271124	291.731641586311	387.44448770794196	7.00985247473668	388.53811089687	556.206032117229	344.681790677524	81.10933024238348	20.1383037027466	123.928602544365	151.689321539861	269.344416926412	352.30969512463304	80.4127432148073	228.225995298501	585.050684701836	357.35985352015297	974.3388414403059	238.334800500129	819.496472045875	587.6475164318509	530.632748712349	250.323331124991	449.651016831456	5.34750691756364	441.55018567855103	445.169391469433	312.612254478672	466.531386294322	456.5507284716391	357.279064723495	454.130029026606	91.56998532414671	359.274841036955	316.628552954087	384.953567023653	537.700393693692	241.753036007917	639.1813623394789	975.761972170851	441.656563197674	675.079361826578	411.783570272102	284.749397228255	760.32075550664	302.5450747616	686.984129971703	865.922879419548	0.0	759.777430942917	461.147748939945	112.60932271320401	889.3216782896968	401.41484693861	860.60041066752	730.304090385867	512.580304675383	1069.62375652105	628.692160896077	151.196753051108	150.601782596233	471.063869052807	35.5260026051417	21.3725005346251	34.8683685383285	735.946990721473	621.04582560869	22.241797646722397	218.73188760148997	1276.13824229146	506.879937565043	745.292108277852	366.871438033383	430.5015926587569	24.0571966919863	653.0448173501931	251.963535819234	164.91286966857598	306.997470413698	564.143751329446	502.55310703724405	130.917404151989	415.910739014383	518.129454992215	557.51260281289	259.543779343108
NM_2	147.85906921459298	1054.4862394092802	420.859069436721	549.453217911149	604.837765535662	516.8729551458821	404.370154822139	204.65696034503503	613.084928030758	347.532641281941	681.059847051202	410.541407957066	118.03375343528799	22.016325326976	440.44618586443	429.249691166188	540.721205451837	384.12163618386	232.326539162701	515.284523771965	408.198664248746	77.8891319193367	29.308413448928494	490.738663914298	469.624178062858	582.874286597848	467.663080074284	459.942497187576	600.879474888599	618.938976380173	209.22342366820598	218.223844977471	19.7278955522222	111.35314449596201	1063.30472781837	147.670460239329	490.28044843004096	541.5328063337312	279.357653010181	538.315696368074	229.72543444086799	655.1251682972149	619.2699898244159	609.142363057102	333.977531385739	504.66632468502405	108.968386361912	296.545875549737	634.5321802723951	18.093060168805	4.64599132614753	329.753683241438	583.879484434312	413.208153431583	987.673613743638	603.3086386164309	204.42049353957802	89.4821440430321	92.99248332904742	311.354808877845	181.410006143319	471.95991952963095	603.985709033801	43.9601612909254	733.163758220622	95.3607999351121	476.693350552787	351.1913158144011	146.251920977633	492.619545416581	247.22989251370097	373.016360333076	761.532360914522	166.87507974402	214.34720412466305	549.068999048768	265.401888801062	607.748401709388	456.696590371464	671.418817435722	356.133936307946	566.627790506067	371.370621313455	52.713779006453294	716.404994360894	124.551182702413	515.3698838983249	645.1568459074849	853.59670630403	368.55625332123003	498.66069977331495	372.78815533489	117.080998379422	450.14465314995005	188.047917109815	259.151317304106	309.630051089624	612.597590962072	431.45589302549797	672.499577143048	280.5660169223
NM_24	48.528104767866296	1136.12388375064	141.57575313772	499.145627143891	662.642773430679	198.46176758765895	486.829951099595	183.99758264458998	469.09161563612395	292.973753510797	482.797601685505	53.0984155401884	740.530236520757	412.602245016661	526.5902348347599	397.172608266541	30.530055514846506	659.918312682653	211.29698173849098	285.933871902745	941.779366245953	53.7166427029908	579.3523588741671	377.8581721067969	389.48989371086196	538.981206322484	799.731539298627	23.7793399906502	495.13988341716	21.086097391709306	59.4091203008486	264.358416231097	312.358346243518	485.135044733868	439.284478462336	329.72993176727	233.03453413032798	721.765604743725	184.643928188236	490.188134110001	625.032188511192	561.986891358575	624.480194065727	683.6727227723238	23.4128578703405	769.346063778239	265.860042118591	558.576910477295	413.686175536984	331.89457247151597	502.430776270526	152.090474311357	19.585056081654105	616.942729081877	494.33312527068495	601.865316514478	74.4624478185403	720.8283825688701	583.607998823677	11.531659588068301	518.48150142897	449.18193113534403	413.158629577518	251.71708793981895	7.726550145182201	542.987241421571	291.150528672999	372.0631511212	736.445843220705	293.79117467615396	256.175710992815	259.462060163653	101.868929192481	614.721223987275	210.703908870419	372.11190449819395	621.8826545707531	484.041785495055	1054.0017368917802	314.626209136546	942.428900602144	538.058322077189	372.71860904962006	10.906299104783402	599.90549060501	358.781765097995	45.3588061701106	722.110367055951	33.329155560678004	242.49654265522202	345.82042337220594	348.475884334789	566.129461676107	517.5776235298371	581.01183691737	598.482047696775	44.3318193953824	199.418613780295	168.248679111863	513.956930718133	130.984711070353
