	SRR1568567	SRR1568510	SRR1568518	SRR1568689	SRR1568605	SRR1568587	SRR1568681	SRR1568503	SRR1568471	SRR1568476	SRR1568404	SRR1568463	SRR1568376	SRR1568372	SRR1568607	SRR1568459	SRR1568649	SRR1568465	SRR1568438	SRR1568400	SRR1568710	SRR1568593	SRR1568428	SRR1568616	SRR1568626	SRR1568364	SRR1568731	SRR1568708	SRR1568569	SRR1568706	SRR1568702	SRR1568544	SRR1568484	SRR1568542	SRR1568402	SRR1568554	SRR1568736	SRR1568653	SRR1568591	SRR1568608	SRR1568571	SRR1568749	SRR1568501	SRR1568520	SRR1568620	SRR1568683	SRR1568418	SRR1568426	SRR1568447	SRR1568601	SRR1568724	SRR1568478	SRR1568700	SRR1568527	SRR1568720	SRR1568581	SRR1568535	SRR1568695	SRR1568583	SRR1568384	SRR1568393	SRR1568735	SRR1568493	SRR1568575	SRR1568499	SRR1568516	SRR1568712	SRR1568612	SRR1568452	SRR1568548	SRR1568604	SRR1568526	SRR1568716	SRR1568624	SRR1568469	SRR1568691	SRR1568497	SRR1568386	SRR1568550	SRR1568531	SRR1568635	SRR1568727	SRR1568505	SRR1568482	SRR1568512	SRR1568398	SRR1568714	SRR1568602	SRR1568589	SRR1568697	SRR1568563	SRR1568366	SRR1568745	SRR1568378	SRR1568441	SRR1568461	SRR1568578	SRR1568508	SRR1568415	SRR1568395	SRR1568753	SRR1568443	SRR1568576	SRR1568389	SRR1568614	SRR1568559	SRR1568558	SRR1568670	SRR1568726	SRR1568424	SRR1568679	SRR1568486	SRR1568741	SRR1568450	SRR1568738	SRR1568457	SRR1568729	SRR1568430
NM_4	555.477043472853	26.384237068320694	211.41825751545	114.59195904038	257.259920497261	570.101104522431	363.233808952475	371.085214104737	354.56643433758796	72.3216278252614	431.902607660681	596.160989264719	555.626899409952	520.393794679375	30.235864062338802	198.757605240388	418.402391918284	22.2519264185852	433.31702794436205	566.938506452296	30.0707686929153	478.091845701071	504.353273462871	588.337610496452	706.5724193966562	375.517078124753	383.185680403789	720.301923197404	384.135683602055	60.6308262793356	219.401001850531	328.898296409273	231.657253599734	520.501319926595	326.506311022407	621.959397733351	191.728980717981	528.426172015957	276.096529008978	748.156283755368	557.288343913342	319.089888423929	646.723135611268	87.76499755519579	149.347371815704	271.944758444474	279.649358755997	30.8289796534188	401.39440893485	9.61273294043424	464.0449059753929	288.905677162548	4.455410882274848	872.4193013554269	334.396828338292	230.773069356652	494.883738291179	377.73245864387	175.12286246369598	526.333324621316	123.87359161985701	547.337499352293	461.676610607864	615.411399646903	239.487306897488	392.529018099516	384.9972615360591	227.091124705729	304.723756307648	235.50484289525502	3.2987017863549704	288.577158179869	471.25235500691804	192.818350181725	147.553066627764	688.8278667034482	195.460833867076	126.471697870903	69.7767539328866	145.89921328459	444.377732404928	770.7455455277901	140.128763297105	544.648502017209	633.148752382534	339.571093442224	774.060713865326	588.021298231134	151.517457531972	296.07854650486803	90.33042037390759	462.084206197198	385.8453071410829	609.1718535647921	211.11334184740397	279.217686528458	357.171479827967	586.482167821929	147.213510126317	114.037605633696	187.11887773028198	287.373900716487	225.486457413549	85.48741258486059	253.555635957059	645.724338790112	882.984771380838	399.970159103544	220.37395622879	65.2455967949938	194.955397420261	395.690461291556	456.879117535022	145.480235064527	180.422416085078	729.582951894895	31.348536945721694	454.9129605291769
NM_8	414.08288695249	326.636854905811	191.250068476147	59.032221323832296	149.162442166252	80.6746846022308	714.305771623059	253.87117192494702	894.813711920386	545.032557523709	359.267991905811	46.509013346893	348.47921496659103	297.092881549384	292.70889677370604	250.913856260915	551.1532924702599	785.410588033765	590.493587165445	771.036368775122	550.29506708035	212.418780004856	507.057580559187	63.650560199908504	648.64492347446	321.257815048072	453.436388477817	261.1905622405	436.46554469155603	404.20550852890403	141.12512358614902	485.271816800289	369.580358344085	887.013495030617	486.54697152355203	242.03608638208198	398.864754529372	73.2794383381143	101.358572791059	667.3449778445099	104.20838951225099	700.963666931269	574.048439816568	381.963158374021	240.307911028561	577.882611694507	51.7125385132275	514.927281778724	83.8550531722575	707.3369322002859	620.148247507556	452.65187432145797	155.196812399241	398.318558140031	479.499988563981	78.2739065654141	324.730007450144	108.220869694111	100.157988005552	393.595753719011	336.598921731445	222.13697414297798	506.528612933758	77.53214483740508	251.33008581000095	51.6216547240248	600.271257046497	734.3165565302049	345.56856314959	310.80574759781604	114.629887075835	376.001337467604	264.253657013225	491.17102371394094	667.236823304166	652.173371788506	181.228248876755	701.7636894056219	294.481554733708	6.70800980618804	96.727547386476	205.248261295246	108.20069064713199	514.159272896653	335.956480856038	8.300626728587691	149.733463881189	519.399094413416	384.657322526987	704.2858494831149	268.434739790386	431.3558963748	316.26664519760897	541.486092057593	409.450371940354	515.722185882591	927.272111091838	355.308588363602	136.339784946532	290.73323634085097	614.3903258095902	170.870967993587	376.932585527126	68.1421404661932	359.925317382947	169.859213617479	173.39580102644902	310.792120301755	452.318860039999	820.4286745923689	750.1960145828682	508.832246977705	94.68729162956859	699.313407166615	325.924364540787	253.505555156861	320.366755616034	109.39431245314002
NM_18	399.494600962294	210.54621180519902	184.99097532601897	4.62997814304567	341.805434275704	368.115597888697	520.527020864931	415.52655711129205	333.105834364523	202.290930003992	460.01923311418	36.643465061188394	638.07029221517	19.2500787181027	33.452445345566396	634.332782682088	113.786486187409	271.143844137575	491.71749260907603	623.212402648301	405.203608137034	499.034542321268	544.241803133527	797.352287909665	114.424683303102	170.83609562757	151.677665159833	242.53409350903598	8.050747859923309	35.2049959041303	200.546228254001	102.780717627898	421.357316759439	615.9565792902961	431.0584213497969	110.016402900947	506.712306183236	306.959425038545	351.0596401356981	37.3643672491067	415.70085816300093	79.03383810500091	775.741134887254	250.933725404292	477.542830867499	290.184955657213	108.445711833565	17.497528992480902	411.87629058138197	550.32896083986	678.15386075448	458.093590843355	232.423934358671	883.5093772201151	523.030936631688	472.3425396188781	446.35397703018	738.815552719415	502.63333858001	331.266807382276	409.2368393305229	227.140059146199	182.996169489646	638.832568399869	290.806015518378	449.772833239028	331.958740903053	687.074972193612	354.16746985315694	324.956253179505	39.5844214362596	699.3934343018809	687.940353757762	507.04084677416495	202.305462420457	451.611041121839	499.08931366059096	407.9483425226089	9.4612547705609	221.36432360420503	191.179152481506	522.9146574078051	163.187926877642	464.960744088482	427.213890319337	385.601841664392	401.0405055999089	117.131003068174	106.953499434333	447.782158204145	827.460737576078	352.50589381166395	279.01746254100203	403.10631297620796	130.196700735863	109.155922778831	977.3153678809219	280.23292429514197	754.469239397376	528.833731619995	499.31721918401496	358.687817110504	280.680157437164	369.20650652592	264.068918423571	350.091508982591	77.361203534877	530.409678544966	453.896716528511	254.041366244338	16.2462831183551	434.831403366764	506.55113937348506	229.023340349108	1041.79395094287	347.815657521765	325.71894485067	509.909008319826
NM_25	481.413437676473	203.15862542607	199.595526009652	52.6660013771445	458.9613605115461	59.7590256312821	282.965623491995	342.198341150476	69.047147739425	77.56232549375859	44.5179903013722	639.1465925095749	555.626899409952	370.243180678174	642.029624132216	327.033790182766	233.499351863745	386.524203345053	348.960801206441	38.6358093286009	629.982604116576	513.395248575118	101.411516111837	230.518245048317	32.8970964496419	62.85478990070981	184.67420986127	397.463899061631	55.2051281823312	501.997163818155	339.38592473753897	626.962377530177	107.571094638798	560.124257775679	10.513620032921901	196.562639849691	209.988883643503	111.547589470241	312.522266105764	810.7198754282912	213.51392851151402	180.96533024042301	44.91132886189361	566.146040567319	445.58372249541395	294.330455023745	14.5598409406175	519.926575776576	176.958825444396	311.61275948574297	494.753760047294	164.2408986609	642.321735527957	638.603535208263	55.4030248134449	514.853368184577	596.137190798696	862.645201696331	447.331382012528	358.968561309713	546.730040500208	984.607128633742	563.341149213223	667.0994962051731	361.86268899345595	380.773591776223	395.6049656626609	72.9343758178985	456.816918626986	202.65545493776298	198.746782627887	133.844097493612	833.279865115036	605.433749747556	361.92261625678003	201.253924910345	840.671353428296	350.88184470281095	476.019380643845	424.281620241393	443.239761259205	528.024572626774	583.574216768958	427.542144713254	306.883323858881	126.018605788559	668.10896456928	86.9608962172804	363.54807921758	547.452163958259	188.330404741826	176.25294690583198	219.981022104115	224.115076990504	167.91724020139299	360.68913613874497	224.70403538627602	587.968814635166	570.452351739479	287.600335087178	287.182448709043	144.746067928451	18.8466292763563	433.63180296668406	222.634216937905	526.433898692341	350.34843899702906	441.897147495429	73.107350634372	1182.74996743265	133.792919798219	140.66276058277901	202.31000561290298	658.9822528912999	490.050562398826	18.1075396540615	656.790078935974	515.886839601418
NM_9	543.694197096156	479.13774516070396	67.4591150624955	232.07765442016398	484.32501464507897	274.293927647585	31.6208003329164	434.96964467666	268.72403444532995	625.739301618566	705.2586884585809	191.673509550832	352.636024687863	39.7834960174121	388.56301901388605	118.40878610065701	376.917735495791	652.723174945164	697.20060902196	96.5895233215023	253.346226237811	436.2064524606769	354.94030639143097	104.937410059309	273.904085656801	412.585287553377	405.538178427343	155.740956367006	429.56490366876506	479.1791109173301	374.238688052337	21.290291508636	418.232845130927	141.381846416048	380.82668119250394	382.12363940928805	181.457785322375	320.801096724634	410.7133834971029	659.524528885394	457.0444040021	655.906992871409	349.4917955071	79.1121104722892	318.976485482924	766.917382808349	300.23396146514597	87.48764496240459	512.379038133426	759.405902294305	315.618777961205	424.45388870799	440.343108864831	856.708360547119	420.799164654498	350.208254374568	416.397334276476	174.818327967411	442.415652539862	507.865488669691	217.913752797236	337.207929217044	456.892397026436	727.671484359395	615.824503450682	432.906351992565	315.73519341530897	548.665418084645	532.594783952168	488.697817767622	562.4286545735221	360.528031398978	335.602144406796	45.2289957216392	266.337925296656	399.741472845977	903.294727385708	268.36677353094103	414.52122463519896	577.727344557945	397.7209154302749	160.96232939751602	581.8004349550711	432.39270389152495	385.219330212332	681.405994174063	45.53298316854861	499.877260568721	412.802980272865	131.916184086328	848.7650820038872	305.54375993215	637.452993764959	96.26419414357201	605.962214639811	50.623036651051905	342.45287489000197	622.905014746231	7.52796358600486	350.258360160637	764.48568227773	239.36057086704895	133.272592739948	708.67826084841	105.13282466512199	241.174150632452	401.033365450914	253.55845360807004	38.39450788711621	348.4392509690091	407.112741671722	363.276868635525	138.150310738223	340.65421378971	331.744442479015	584.722634662403	264.551067883408	515.886839601418
NM_21	423.06029371568803	334.02444128494	281.65919175578	322.36222820955504	300.74047044046	29.281922559328198	420.799881353425	481.077538045962	510.38905153331706	926.555347790306	177.290943831781	474.9556817546341	40.1824939722908	587.127400902131	587.991058573994	129.685813348338	1080.97161878038	658.492192905538	574.631732565152	106.668430102876	457.0756841323129	137.623434932724	613.877710863655	578.015898031602	232.425137959426	513.045507309212	128.792964802385	443.699495483086	295.002403724333	483.0907771289	435.373863047147	24.9610314239181	328.069520993843	699.705061562223	504.65376158025003	679.167927241844	234.525628199673	745.007623104162	114.55630362322799	713.3987328259669	165.940533299399	48.749844064766904	146.982530820743	279.364640105271	358.9253709480301	359.000245141638	449.848878717009	169.142780260649	10.4818816465322	369.289157128349	374.47741493234804	296.820901194398	306.680782396585	553.579620245658	257.228329490994	520.251568637364	478.707151204179	0.0	532.742181600084	135.046050396259	487.06317961525	482.29739431043	149.506674419645	617.026652664349	76.320130769529	77.6880348321958	53.66250322868901	766.6397458131371	185.951357464632	319.397125986698	659.7403572709941	296.313811214182	620.9960939810791	641.934342786072	799.9417825983189	558.8081488919539	889.062142395387	424.91405809065697	28.9750927348428	148.41471696191005	110.38320113515499	488.848555948013	580.026653141183	647.203181786353	136.482320347766	644.430475110354	731.1546335718858	502.24354345898695	371.9917765413431	91.6084611710608	443.130364098415	411.64339573401605	425.9057488661129	694.155087457164	106.46926462044901	296.619355377257	931.197072408629	322.602358472392	577.980315325484	248.125779290898	950.6039242982248	28.949213585690302	363.47070747258596	665.3150805517411	251.70035081590999	1189.0144953223598	863.4221681881099	195.65927916213295	99.40495877623242	1349.3344698879598	168.196813460618	286.829716144884	508.620806950087	147.64083261499098	148.993995218645	169.003703437907	315.014566381399	216.397492393642
NM_14	416.88832656599	439.033704816857	397.80014243038596	449.68662714330986	445.67563691779014	515.122800941651	468.636476728863	358.3083279903521	315.377512647644	727.408836387412	442.055833518889	190.968827530424	624.214259810932	238.700976104473	146.03279025853	649.838695147651	1118.90044750952	441.74194668006106	683.501734594434	402.316362356518	457.0756841323129	66.41826642405371	198.766571579201	109.238123586329	663.663163157993	24.7121396190825	283.663843965583	760.8594639179788	448.541666481441	181.240534469412	543.360293645455	326.695852460104	382.524597947923	283.664214146847	95.79076029995501	373.322327177212	178.604675490262	59.43776665202599	254.45225044422	830.705467212697	536.333396022291	179.48806223846	58.7930123282971	147.099080409413	159.1809436225	649.185200798851	452.861259601274	381.612775169346	508.679550493474	4.0053053918476005	24.7376880023647	387.845977560681	368.31396626805395	329.929756974457	318.567392677308	47.234253961887795	163.56326943522	340.271388365139	15.3616546020786	438.033983977609	236.72178503271095	339.209163218332	215.28961116428903	112.260084712493	634.246603981258	26.577485600488	217.769925893168	234.55032223256	528.832762269358	64.1826503169473	678.707892542535	464.19918205876996	458.92051767963403	613.368661277668	432.451126091435	43.5704373517241	89.1908659393452	364.762884713032	563.5359872715329	371.456043017663	421.049323917602	678.767071586352	202.211126783165	362.406064319339	662.221909379691	350.890129890298	774.060713865326	460.83359287933	437.664977948389	511.54164717920304	189.182578518939	544.412885344001	511.6491504530209	136.123587031145	233.623986367156	397.86542867936095	504.357529207624	209.61720066639302	712.6472194751268	88.3478153535774	58.03687116768111	31.7735271062454	507.512802656166	48.318972330573395	611.6256681988569	245.064056287814	173.39580102644902	77.19889926124971	516.485023906139	856.5219834576849	112.76831811564101	51.3724864737106	76.0602834401453	618.651098615986	564.547560008149	39.233002583799895	360.12587564475405	95.0475173773181
NM_20	522.9339439562619	173.60827990955002	139.786413686202	413.804296534707	84.5455137784426	317.91801635842097	549.7154519414689	43.3303094313915	10.2637652045091	769.33441773539	477.201615335762	223.384200469168	66.5089555403434	636.535936278594	282.415836667378	525.086581220173	854.58392230335	334.603041701688	183.13232129428903	85.6707076416803	274.39576432285196	312.345361021225	262.317788342619	208.15453470780895	650.790386286394	369.607653433234	311.338365328078	201.16540197404998	20.126869649808306	340.314960406593	387.379893892343	599.064754174034	41.957190440028896	294.47046992387	6.424990020118929	233.234774150007	204.8532859457	195.411835568305	351.587549368985	620.4222840898179	86.6515412792086	541.4187227193049	548.734781730773	508.048084439232	194.82764142213296	507.40912246347	239.986343779833	115.81697761689699	443.321935520979	662.477511811593	70.80096911021609	44.52313517915979	182.67184617326905	475.949089192844	604.156794394233	348.18392920477305	170.75286369610902	835.589984272803	380.354567947465	429.954305748773	345.030108595623	607.374519390936	71.1651770237511	353.740410820661	616.4824356124881	278.04138782049	438.659764764748	0.0	77.3901603321011	326.977753976889	636.649444766509	68.082546701953	401.665558660102	717.316002322137	201.377455712106	493.106695742529	126.19558691418	199.732742369292	473.062738528045	476.26869623935096	153.057119099777	340.66101459791804	535.6821077939981	27.024543993220306	184.12999431532901	11.3190364480741	520.126769271497	495.144694788189	106.015310842804	727.737615542907	356.208638832956	500.929428048155	2.81125906842319	218.09856485653	562.157717195969	554.480448318553	449.40807077255204	336.725503198142	138.849106141867	449.258039776702	520.330569089555	502.727806658817	562.033408777054	1133.63742775576	388.991451260951	1094.36012437521	539.7500062720729	192.331740400872	477.038611693348	222.112669940404	713.8807934947798	539.4111079739611	128.319389749361	712.997191652882	914.9162518894948	166.74026098115	618.560155831436	493.7688638595269
NM_2	396.6891613487951	474.9162672297729	0.0	285.90115033307	327.311917627971	543.2095429883541	788.0876390665311	188.87570777786	292.983843110533	242.120232284571	73.4156331285787	502.438280550526	274.349441603917	345.859747635244	497.283466386977	116.99915769469601	755.020746889367	703.820191165619	345.355834251829	96.5895233215023	113.517151815755	79.582247156749	526.6638070074749	410.288070477789	597.1538159880639	518.41771157423	308.14515132471297	104.63845505908199	477.294337409739	526.11910545617	435.945219822799	134.349080899324	197.28806568609298	599.747195624762	247.070070773664	495.07381305426	228.24878656902501	716.5100637504511	65.9886541608455	508.32918234249803	276.945122127667	12.5567780166824	597.728958671021	280.60076683140096	530.3982793290239	485.023425884199	204.33983664935505	269.128660217683	599.316997672311	612.811724952683	694.36131151465	308.199035740184	233.90907131943	578.532290941205	230.845936722687	520.926343693963	302.562091812404	947.9731951089959	39.3258357813211	442.073823092027	621.313616606404	674.415858434087	369.580499165363	172.024446357992	286.200490385734	62.865975555000496	444.89959072157205	43.926385435779714	343.418836473699	493.751569761083	433.779284905679	167.885370844589	363.78920115487296	456.257412981448	815.7178966402811	26.280581259770106	249.544656830295	427.227564759027	218.791516569221	780.6446411951331	388.04816069162695	489.700208484508	112.930775484165	480.205358648761	441.75046881791604	681.405994174063	858.9972401605029	376.830550274882	337.27879865476103	477.096865778885	73.2869448316609	350.7665555198301	126.506658079044	489.5936749020729	414.317538323003	707.140543219382	957.6905612969679	172.45103033547196	818.038709679195	221.18282850931095	405.25746246398	92.49626779818121	128.56093542085898	821.422529619747	353.741033579116	701.4796531836362	803.845149373895	397.308128094535	266.131794395628	1088.3520827079801	517.969732361675	407.31042847013396	399.445842284301	499.818233340505	1003.38143655057	500.975263762368	652.20248816343	371.223322586884
NM_24	154.860266665159	360.40867835326105	319.90920545101	266.802490493007	405.214569609536	197.802374839544	623.4973193849411	77.2168334738899	888.282224972063	190.761395133298	591.230151897171	697.6352002033949	306.91111775387697	208.54251944611198	315.224965756299	592.043930503283	165.93862568997102	599.153722455978	359.775702070277	325.044743699316	15.035384346457699	67.61499194520779	200.118725127359	227.07767422670105	484.874595496895	227.244240410258	266.101166947076	610.7965632518531	467.518429294118	113.438320135531	462.7989882784629	86.6294620006568	100.429445202197	556.5221725166708	101.047570316416	348.38527585299795	155.77979683336	162.02898032538602	419.687840462978	732.5153858371381	430.425956681036	243.01058632285304	236.80518854452998	122.994609249887	287.631975348764	137.63057896885	9.53920613350799	663.239670381658	16.031113106461	51.2679090156493	279.791781543987	391.308888074615	363.1159869054	575.759771975033	136.528882575989	504.731742335601	5.99132855074067	351.717826505862	476.825758848518	472.0840565134169	468.25514737977403	688.424496443104	540.018108003758	743.824014533855	452.657327322724	468.68373645476	401.844791619485	191.45273652198296	262.80408612776	84.397658290789	653.142953698284	171.753697361745	49.327349309135286	670.500024294475	15.776114041962199	473.74205691954	577.842950607034	707.933040521276	199.869007028099	819.2156975807138	509.242087711153	436.046098685336	87.50656948511221	288.26180259435	458.709810399591	749.320212862507	827.4744056592	51.4666528632884	193.73594415078801	197.874276129491	143.165194554872	106.679415232477	316.26664519760897	510.65146737098	42.587705848179496	64.8607657091603	947.87815800499	547.0860272711531	181.50756646256198	290.106656090116	827.5257319943498	271.840176353433	508.85899046162	407.613894788683	69.2639786029039	0.0	436.601734892237	422.59742268011706	344.498666658372	473.3776278104869	257.07353875514804	537.5763763141861	8.278670306410369	198.054775459134	774.0703657843691	487.39460902182196	670.552851253608	447.7395629912661
